address_hex,address_dec,result_type,value_or_code
0x0147,327,EXCEPTION,1
0x0148,328,EXCEPTION,1
0x0149,329,EXCEPTION,1
0x014A,330,EXCEPTION,1
0x014B,331,EXCEPTION,1
0x014C,332,EXCEPTION,1
0x014D,333,EXCEPTION,1
0x014E,334,EXCEPTION,1
0x014F,335,EXCEPTION,1
0x0150,336,EXCEPTION,1
0x0151,337,EXCEPTION,1
0x0152,338,EXCEPTION,1
0x0153,339,EXCEPTION,1
0x0154,340,EXCEPTION,1
0x0155,341,EXCEPTION,1
0x0156,342,EXCEPTION,1
0x0157,343,EXCEPTION,1
0x0158,344,EXCEPTION,1
0x0159,345,EXCEPTION,1
0x015A,346,EXCEPTION,1
0x015B,347,EXCEPTION,1
0x015C,348,EXCEPTION,1
0x015D,349,EXCEPTION,1
0x015E,350,EXCEPTION,1
0x015F,351,EXCEPTION,1
0x0160,352,EXCEPTION,1
0x0161,353,EXCEPTION,1
0x0162,354,EXCEPTION,1
0x0163,355,EXCEPTION,1
0x0164,356,EXCEPTION,1
0x0165,357,EXCEPTION,1
0x0166,358,EXCEPTION,1
0x0167,359,EXCEPTION,1
0x0168,360,EXCEPTION,1
0x0169,361,EXCEPTION,1
0x016A,362,EXCEPTION,1
0x016B,363,EXCEPTION,1
0x016C,364,EXCEPTION,1
0x016D,365,EXCEPTION,1
0x016E,366,EXCEPTION,1
0x016F,367,EXCEPTION,1
0x0170,368,EXCEPTION,1
0x0171,369,EXCEPTION,1
0x0172,370,EXCEPTION,1
0x0173,371,EXCEPTION,1
0x0174,372,EXCEPTION,1
0x0175,373,EXCEPTION,1
0x0176,374,EXCEPTION,1
0x0177,375,EXCEPTION,1
0x0178,376,EXCEPTION,1
0x0179,377,EXCEPTION,1
0x017A,378,EXCEPTION,1
0x017B,379,EXCEPTION,1
0x017C,380,EXCEPTION,1
0x017D,381,EXCEPTION,1
0x017E,382,EXCEPTION,1
0x017F,383,EXCEPTION,1
0x0180,384,EXCEPTION,1
0x0181,385,EXCEPTION,1
0x0182,386,EXCEPTION,1
0x0183,387,EXCEPTION,1
0x0184,388,EXCEPTION,1
0x0185,389,EXCEPTION,1
0x0186,390,EXCEPTION,1
0x0187,391,EXCEPTION,1
0x0188,392,EXCEPTION,1
0x0189,393,EXCEPTION,1
0x018A,394,EXCEPTION,1
0x018B,395,EXCEPTION,1
0x018C,396,EXCEPTION,1
0x018D,397,EXCEPTION,1
0x018E,398,EXCEPTION,1
0x018F,399,EXCEPTION,1
0x0190,400,EXCEPTION,1
0x0191,401,EXCEPTION,1
0x0192,402,EXCEPTION,1
0x0193,403,EXCEPTION,1
0x0194,404,EXCEPTION,1
0x0195,405,EXCEPTION,1
0x0196,406,EXCEPTION,1
0x0197,407,EXCEPTION,1
0x0198,408,EXCEPTION,1
0x0199,409,EXCEPTION,1
0x019A,410,EXCEPTION,1
0x019B,411,EXCEPTION,1
0x019C,412,EXCEPTION,1
0x019D,413,EXCEPTION,1
0x019E,414,EXCEPTION,1
0x019F,415,EXCEPTION,1
0x01A0,416,EXCEPTION,1
0x01A1,417,EXCEPTION,1
0x01A2,418,EXCEPTION,1
0x01A3,419,EXCEPTION,1
0x01A4,420,EXCEPTION,1
0x01A5,421,EXCEPTION,1
0x01A6,422,EXCEPTION,1
0x01A7,423,EXCEPTION,1
0x01A8,424,EXCEPTION,1
0x01A9,425,EXCEPTION,1
0x01AA,426,EXCEPTION,1
0x01AB,427,EXCEPTION,1
0x01AC,428,EXCEPTION,1
0x01AD,429,EXCEPTION,1
0x01AE,430,EXCEPTION,1
0x01AF,431,EXCEPTION,1
0x01B0,432,EXCEPTION,1
0x01B1,433,EXCEPTION,1
0x01B2,434,EXCEPTION,1
0x01B3,435,EXCEPTION,1
0x01B4,436,EXCEPTION,1
0x01B5,437,EXCEPTION,1
0x01B6,438,EXCEPTION,1
0x01B7,439,EXCEPTION,1
0x01B8,440,EXCEPTION,1
0x01B9,441,EXCEPTION,1
0x01BA,442,EXCEPTION,1
0x01BB,443,EXCEPTION,1
0x01BC,444,EXCEPTION,1
0x01BD,445,EXCEPTION,1
0x01BE,446,EXCEPTION,1
0x01BF,447,EXCEPTION,1
0x01C0,448,EXCEPTION,1
0x01C1,449,EXCEPTION,1
0x01C2,450,EXCEPTION,1
0x01C3,451,EXCEPTION,1
0x01C4,452,EXCEPTION,1
0x01C5,453,EXCEPTION,1
0x01C6,454,EXCEPTION,1
0x01C7,455,EXCEPTION,1
0x01C8,456,EXCEPTION,1
0x01C9,457,EXCEPTION,1
0x01CA,458,EXCEPTION,1
0x01CB,459,EXCEPTION,1
0x01CC,460,EXCEPTION,1
0x01CD,461,EXCEPTION,1
0x01CE,462,EXCEPTION,1
0x01CF,463,EXCEPTION,1
0x01D0,464,EXCEPTION,1
0x01D1,465,EXCEPTION,1
0x01D2,466,EXCEPTION,1
0x01D3,467,EXCEPTION,1
0x01D4,468,EXCEPTION,1
0x01D5,469,EXCEPTION,1
0x01D6,470,EXCEPTION,1
0x01D7,471,EXCEPTION,1
0x01D8,472,EXCEPTION,1
0x01D9,473,EXCEPTION,1
0x01DA,474,EXCEPTION,1
0x01DB,475,EXCEPTION,1
0x01DC,476,EXCEPTION,1
0x01DD,477,EXCEPTION,1
0x01DE,478,EXCEPTION,1
0x01DF,479,EXCEPTION,1
0x01E0,480,EXCEPTION,1
0x01E1,481,EXCEPTION,1
0x01E2,482,EXCEPTION,1
0x01E3,483,EXCEPTION,1
0x01E4,484,EXCEPTION,1
0x01E5,485,EXCEPTION,1
0x01E6,486,EXCEPTION,1
0x01E7,487,EXCEPTION,1
0x01E8,488,EXCEPTION,1
0x01E9,489,EXCEPTION,1
0x01EA,490,EXCEPTION,1
0x01EB,491,EXCEPTION,1
0x01EC,492,EXCEPTION,1
0x01ED,493,EXCEPTION,1
0x01EE,494,EXCEPTION,1
0x01EF,495,EXCEPTION,1
0x01F0,496,EXCEPTION,1
0x01F1,497,EXCEPTION,1
0x01F2,498,EXCEPTION,1
0x01F3,499,EXCEPTION,1
0x01F4,500,EXCEPTION,1
0x01F5,501,EXCEPTION,1
0x01F6,502,EXCEPTION,1
0x01F7,503,EXCEPTION,1
0x01F8,504,EXCEPTION,1
0x01F9,505,EXCEPTION,1
0x01FA,506,EXCEPTION,1
0x01FB,507,EXCEPTION,1
0x01FC,508,EXCEPTION,1
0x01FD,509,EXCEPTION,1
0x01FE,510,EXCEPTION,1
0x01FF,511,EXCEPTION,1
0x0200,512,VALUE,2
0x0201,513,VALUE,0
0x0202,514,VALUE,0
